entity,year,gdp_pc,repression,iv_repression,gross_fixed_capital_formation_perecent_of_gdp,trade_percentageof_gdp,inflation_consumer_prices_annual_perecentage_growth,population_growth_annual_percentage,expenditure_on_education,ln_gdp_pc
Madagascar,2014,443.3438699,0.774,0.721,18.27815069,61.96943221,6.080408111,2.680779482,18.96677017,6.094345698956996
Madagascar,2015,445.3200695,0.774,0.721,18.95947254,61.22037884,7.404191742,2.639484347,16.9629097,6.098793280928041
Madagascar,2016,451.1565943,0.774,0.721,18.97725542,60.83469848,6.035758582,2.613359357,19.5808754,6.1118144949800355
Madagascar,2018,459.3303678,0.774,0.721,21.03202232,67.84150467,8.594229589,2.60334538,19.81801987,6.129769706716293
Madagascar,2019,467.2774135,0.705,0.693,21.24780392,62.60132305,5.610514415,2.601366335,17.95279121,6.146923114491602
Malaysia,1992,4726.137892,1.005,0.708,36.62746712,150.611221,4.7672283,2.647530828,19.10503006,8.460863634638173
Malaysia,1993,5062.591104,1.005,0.708,38.87301532,157.9404625,3.536585366,2.558459024,17.31287956,8.529633707104724
Malaysia,1994,5390.101676,1.005,0.708,40.24536864,179.9049427,3.724970554,2.543532369,19.92374992,8.592319527547016
Malaysia,1995,5771.35212,1.005,0.708,43.58596324,192.1132003,3.450575096,2.541305988,19.50259018,8.660661668271539
Malaysia,1996,6190.464291,1.005,0.708,42.49562531,181.7669825,3.488559459,2.523102985,22.77094078,8.730765369489372
Malaysia,1997,6480.556495,1.005,0.708,43.11432069,185.6651112,2.662514597,2.48740927,20.05298042,8.776561664516967
Malaysia,1999,6070.95622,1.005,0.708,21.89125028,217.5709194,2.744561302,2.385278799,21.18855095,8.711271403771867
Malaysia,2000,6455.614198,1.005,0.708,25.29201658,220.406789,1.534740237,2.344802412,21.39068031,8.772705449490063
Malaysia,2001,6334.927957,1.005,0.708,25.12344751,203.364636,1.416784732,2.403512895,24.34852028,8.753833720472738
Malaysia,2002,6516.906716,1.005,0.708,23.48432856,199.3562327,1.807872463,2.418555471,25.90360069,8.7821551122818
Malaysia,2003,6732.920495,1.005,0.708,22.41426658,194.1951291,1.089676326,2.366245719,24.54244041,8.814764280217728
Malaysia,2004,7025.34558,1.005,0.723,20.95484002,210.3742659,1.421271159,2.311724529,21.01292038,8.857279685874579
Malaysia,2006,7469.810692,1.035,0.724,21.9550122,202.5771468,3.609235642,2.22705351,16.74556923,8.918624935369326
Malaysia,2007,7769.596934,1.137,0.734,22.40418433,192.4655064,2.027353178,2.173504618,16.12466049,8.957973567370082
Malaysia,2008,7976.117854,1.137,0.734,20.57032349,176.6683248,5.440782211,2.095316748,14.03864002,8.984207087610743
Malaysia,2009,7700.461113,1.094,0.73,21.97635711,162.5589705,0.583308406,1.992060212,18.46463013,8.949035490853946
Malaysia,2010,8118.922705,1.094,0.73,22.43539956,157.9447649,1.622852356,1.870406127,18.40623093,9.001952752556013
Malaysia,2011,8400.322487,1.094,0.73,22.18313914,154.9376846,3.174470922,1.751280082,20.97702026,9.036025375404002
Malaysia,2012,8710.526714,1.094,0.73,25.36344842,147.8417548,1.663571025,1.702695132,19.85116005,9.072287540348825
Malaysia,2013,8964.807249,1.122,0.704,26.47705608,142.7209915,2.105012312,1.70946282,19.45430946,9.101061885417689
Malaysia,2014,9341.73056,1.122,0.704,25.97449665,138.3122312,3.142990509,1.714740728,21.39206505,9.142246798856354
Malaysia,2015,9648.679794,1.122,0.704,25.86564353,131.3700724,2.104389802,1.733194456,21.30448341,9.174576376061921
Malaysia,2016,9901.479602,1.122,0.704,25.51778782,126.89901,2.090566595,1.767310548,21.34757042,9.200439479702908
Malaysia,2017,10293.76292,1.368,0.731,25.0629653,133.1551734,3.871201158,1.76466064,21.6478653,9.239293449055703
Malaysia,2018,10610.19502,1.956,0.795,24.2004646,130.4026255,0.884709161,1.701747319,20.70077133,9.269570612211961
Malaysia,2019,10902.98349,1.956,0.795,22.9367865,123.028562,0.662891866,1.596466533,19.13845253,9.296791745443105
Malaysia,2020,10171.46578,2.148,0.826,20.91401628,116.7881824,-1.138702154,1.333633231,15.62187958,9.22734160648413
Malaysia,2021,10388.26671,2.407,0.852,19.28731746,134.0359947,2.477102415,1.152513044,20.46257782,9.248432247270143
Malaysia,2022,11191.65118,2.407,0.852,18.20814497,146.4246048,3.378698625,1.197772001,20.14967918,9.322923348954687
Malaysia,2023,11445.39253,2.407,0.884,19.22740008,132.5934616,2.488865601,1.234028692,17.11417961,9.345342528871493
Maldives,2014,9612.078618,0.193,0.538,26.73091206,165.9792512,2.120001757,3.330089307,12.31742382,9.170775775973972
Maldives,2015,9644.90655,0.428,0.569,33.31664322,143.7205067,0.953206659,3.454251908,12.93944263,9.174185236334882
Maldives,2016,9909.076697,0.428,0.569,39.9583038,144.3802123,0.502509414,3.478184411,11.22386932,9.201206454164176
Maldives,2017,10263.29911,0.277,0.544,41.16657583,141.9121106,2.817473382,3.323083736,11.35420895,9.236329617720681
Maldives,2018,10793.89413,0.611,0.552,47.78211835,142.4911285,-0.133373386,3.18090435,11.38990211,9.286735894903694
Maldives,2019,11194.92537,1.904,0.845,44.05120139,137.1252309,0.220029731,3.045935545,12.05514431,9.323215862641721
Maldives,2020,7295.60221,1.948,0.861,38.81762255,114.3619029,-1.369774256,2.907112747,10.50504112,8.895027008612105
Maldives,2021,9759.221936,1.948,0.861,28.03536262,142.6072967,0.543149689,2.757001874,10.03292656,9.185967956557224
Maldives,2022,10939.99633,1.948,0.879,36.66227634,162.2434329,2.333143376,1.528878337,11.07644463,9.300180740509736
Maldives,2023,11439.53643,1.948,0.897,34.81517681,149.3499762,2.927465424,0.359585189,10.63280487,9.34483074225961
Mali,2000,682.4974205,1.022,0.77,17.81892788,44.66576098,-0.677661659,2.913088742,15.32380962,6.525758747564793
Mali,2001,766.9603432,1.022,0.77,17.58152049,49.32390699,5.187011919,3.007011656,14.49349976,6.642435096249605
Mali,2002,766.073669,1.022,0.77,17.62150892,46.35292274,5.032822757,3.106768618,14.52521038,6.6412783387454475
Mali,2003,814.8084665,1.022,0.77,19.3003705,46.89153467,-1.34672619,3.178940014,18.28376007,6.702953075192137
Mali,2004,800.5018167,1.022,0.77,21.33551874,44.01209864,-3.099781281,3.237946088,17.73634911,6.685238801890784
Mali,2005,794.3733282,1.022,0.77,18.4530017,44.91240851,6.397882939,3.275222992,16.28030014,6.677553537393903
